league,club,country_code,level,elo,snapshot_date,fetched_at,source
Super_Lig,Besiktas,TUR,1,1503.39880371,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Bueyueksehir,TUR,1,1481.52307129,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Goeztepe,TUR,1,1463.14086914,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Samsunspor,TUR,1,1443.88000488,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Alanyaspor,TUR,1,1419.68188477,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Gaziantep FK,TUR,1,1386.63293457,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Kasimpasa,TUR,1,1386.41772461,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Rizespor,TUR,1,1385.88464355,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Kocaelispor,TUR,1,1368.64111328,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Konyaspor,TUR,1,1365.9576416,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Kayseri,TUR,1,1360.8293457,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Genclerbirligi,TUR,1,1348.91699219,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Eyupspor,TUR,1,1335.84716797,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Antalyaspor,TUR,1,1326.67504883,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
Super_Lig,Fatih Karaguemruek,TUR,1,1282.46044922,2026-01-14,2026-07-04T09:46:43+00:00,github.com/tonyelhabr/club-rankings mirror
